基金代码,基金名称,基金类型,基金经理,今日净值,昨日净值,累计净值,今日涨跌幅,过去一月涨跌幅,过去三月涨跌幅,过去六月涨跌幅,过去一年涨跌幅,过去三年涨跌幅,成立以来涨跌幅
070020,嘉实稳固收益债券C,债券型,曲扬,1.1235,1.122,1.555,0.13%,-0.44%,-1.06%,4.16%,8.68%,23.18%,65.47%
070021,嘉实主题新动力混合,混合型,曲盛伟,2.1127,2.113,2.113,-0.01%,-0.24%,-18.82%,13.24%,22.92%,47.25%,111.30%
070022,嘉实领先成长混合,混合型,邵秋涛,2.1261,2.125,2.57,0.05%,8.47%,-6.14%,13.27%,19.38%,17.73%,161.62%
070023,嘉实深证基本面120联接A,联接基金,刘珈吟,1.8413,1.8319,1.8319,0.51%,1.68%,-9.13%,-0.81%,5.53%,23.89%,83.19%
070025,嘉实信用债券A,债券型,胡永青,1.2604,1.26,1.525,0.03%,-1.10%,-0.79%,2.27%,6.69%,17.16%,60.54%
070026,嘉实信用债券C,债券型,胡永青,1.2403,1.24,1.484,0.03%,-1.20%,-0.96%,2.06%,6.26%,15.93%,55.31%
070027,嘉实周期优选混合,混合型,吴云峰,2.3523,2.339,2.399,0.57%,3.50%,-6.33%,16.31%,34.04%,23.63%,147.52%
070030,嘉实中创400ETF联接A,联接基金,刘珈吟,1.537,1.5443,1.5443,-0.48%,3.54%,-7.97%,17.43%,19.91%,-9.29%,54.43%
070031,嘉实全球房地产(QDII),QDII,冯正彦,1.0513,1.038,1.319,1.28%,6.68%,-19.53%,-19.68%,-12.91%,-0.60%,32.84%
070032,嘉实优化红利混合,混合型,常蓁,1.862,1.853,2.706,0.49%,4.75%,4.45%,8.94%,27.27%,68.00%,258.44%
070037,嘉实纯债债券A,债券型,轩璇,1.1991,1.199,1.357,0.01%,-0.50%,1.35%,3.54%,5.55%,16.31%,37.68%
070038,嘉实纯债债券C,债券型,轩璇,1.1821,1.182,1.339,0.01%,-0.59%,1.20%,3.41%,5.16%,15.32%,35.64%
